id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;Nordeste;04/03/2000 00:00:00;5.552,49166667
S;Sul;04/03/2000 00:00:00;6.430,97500000
SE;Sudeste/Centro-Oeste;04/03/2000 00:00:00;23.923,38333333
N;Norte;05/03/2000 00:00:00;2.312,58333333
NE;Nordeste;05/03/2000 00:00:00;5.107,43750000
S;Sul;05/03/2000 00:00:00;5.449,62500000
SE;Sudeste/Centro-Oeste;05/03/2000 00:00:00;21.465,73333333
N;Norte;06/03/2000 00:00:00;2.328,70833333
NE;Nordeste;06/03/2000 00:00:00;5.180,61250000
S;Sul;06/03/2000 00:00:00;6.348,71666667
SE;Sudeste/Centro-Oeste;06/03/2000 00:00:00;22.983,17500000
N;Norte;07/03/2000 00:00:00;2.286,57916667
NE;Nordeste;07/03/2000 00:00:00;5.142,34583333
S;Sul;07/03/2000 00:00:00;6.131,35000000
SE;Sudeste/Centro-Oeste;07/03/2000 00:00:00;22.622,49583333
N;Norte;08/03/2000 00:00:00;2.385,08333333
NE;Nordeste;08/03/2000 00:00:00;5.654,46250000
S;Sul;08/03/2000 00:00:00;6.789,96250000
SE;Sudeste/Centro-Oeste;08/03/2000 00:00:00;24.392,80416667
N;Norte;09/03/2000 00:00:00;2.440,03333333
NE;Nordeste;09/03/2000 00:00:00;6.083,47083333
S;Sul;09/03/2000 00:00:00;7.020,40416667
SE;Sudeste/Centro-Oeste;09/03/2000 00:00:00;25.594,61666667
N;Norte;10/03/2000 00:00:00;2.446,86666667
NE;Nordeste;10/03/2000 00:00:00;6.072,06666667
S;Sul;10/03/2000 00:00:00;7.106,22083333
SE;Sudeste/Centro-Oeste;10/03/2000 00:00:00;26.008,28750000
N;Norte;11/03/2000 00:00:00;2.352,84583333
NE;Nordeste;11/03/2000 00:00:00;5.701,15000000
S;Sul;11/03/2000 00:00:00;6.348,40000000
SE;Sudeste/Centro-Oeste;11/03/2000 00:00:00;23.962,81250000
N;Norte;12/03/2000 00:00:00;2.297,45416667
NE;Nordeste;12/03/2000 00:00:00;5.327,85416667
S;Sul;12/03/2000 00:00:00;5.342,35833333
SE;Sudeste/Centro-Oeste;12/03/2000 00:00:00;21.255,05833333
N;Norte;13/03/2000 00:00:00;2.451,68333333
NE;Nordeste;13/03/2000 00:00:00;6.034,44583333
S;Sul;13/03/2000 00:00:00;7.035,90000000
SE;Sudeste/Centro-Oeste;13/03/2000 00:00:00;25.229,15416667
N;Norte;14/03/2000 00:00:00;2.486,07500000
NE;Nordeste;14/03/2000 00:00:00;6.168,49166667
S;Sul;14/03/2000 00:00:00;7.364,44166667
SE;Sudeste/Centro-Oeste;14/03/2000 00:00:00;26.145,59583333
N;Norte;15/03/2000 00:00:00;2.482,82083333
NE;Nordeste;15/03/2000 00:00:00;6.123,15416667
S;Sul;15/03/2000 00:00:00;7.451,60833333
SE;Sudeste/Centro-Oeste;15/03/2000 00:00:00;26.625,92083333
N;Norte;16/03/2000 00:00:00;2.465,13333333
NE;Nordeste;16/03/2000 00:00:00;6.150,87500000
S;Sul;16/03/2000 00:00:00;7.565,32916667
SE;Sudeste/Centro-Oeste;16/03/2000 00:00:00;27.153,69166667
N;Norte;17/03/2000 00:00:00;2.457,28750000
NE;Nordeste;17/03/2000 00:00:00;6.127,22916667
S;Sul;17/03/2000 00:00:00;7.564,26250000
SE;Sudeste/Centro-Oeste;17/03/2000 00:00:00;27.362,45833333
N;Norte;18/03/2000 00:00:00;2.353,25000000
NE;Nordeste;18/03/2000 00:00:00;5.751,72916667
S;Sul;18/03/2000 00:00:00;6.542,55416667
SE;Sudeste/Centro-Oeste;18/03/2000 00:00:00;24.974,38333333
N;Norte;19/03/2000 00:00:00;2.232,45416667
NE;Nordeste;19/03/2000 00:00:00;4.485,20833333
S;Sul;19/03/2000 00:00:00;5.408,80291667
SE;Sudeste/Centro-Oeste;19/03/2000 00:00:00;21.824,45991625
N;Norte;20/03/2000 00:00:00;2.426,96250000
NE;Nordeste;20/03/2000 00:00:00;6.095,43333333
S;Sul;20/03/2000 00:00:00;7.058,73750000
SE;Sudeste/Centro-Oeste;20/03/2000 00:00:00;25.821,79583333
N;Norte;21/03/2000 00:00:00;2.452,73333333
NE;Nordeste;21/03/2000 00:00:00;6.106,95833333
S;Sul;21/03/2000 00:00:00;7.358,02083333
SE;Sudeste/Centro-Oeste;21/03/2000 00:00:00;26.486,72916667
N;Norte;22/03/2000 00:00:00;2.458,48750000
NE;Nordeste;22/03/2000 00:00:00;6.188,18750000
S;Sul;22/03/2000 00:00:00;7.396,52083333
SE;Sudeste/Centro-Oeste;22/03/2000 00:00:00;26.876,83333333
N;Norte;23/03/2000 00:00:00;2.450,17083333
NE;Nordeste;23/03/2000 00:00:00;6.109,34166667
S;Sul;23/03/2000 00:00:00;7.490,64583333
SE;Sudeste/Centro-Oeste;23/03/2000 00:00:00;26.948,58750000
N;Norte;24/03/2000 00:00:00;2.467,14583333
NE;Nordeste;24/03/2000 00:00:00;6.209,54166667
S;Sul;24/03/2000 00:00:00;7.372,33750000
SE;Sudeste/Centro-Oeste;24/03/2000 00:00:00;27.263,34166667
N;Norte;25/03/2000 00:00:00;2.419,56666667
NE;Nordeste;25/03/2000 00:00:00;5.804,75000000
S;Sul;25/03/2000 00:00:00;6.409,21666667
SE;Sudeste/Centro-Oeste;25/03/2000 00:00:00;24.957,34166667
