Data,Region,Average_Consumption,month,year,Average_Consumption_lag_1,Average_Consumption_lag_12,Average_Consumption_rolling_mean_3
2021-10-01,Nordeste,12179.03,10,2021,11972.6,11048.55,11809.243333333334
2021-10-01,Sudeste/CO,37630.33,10,2021,40340.28,38984.22,38695.94666666666
2021-10-01,Sul,11084.3,10,2021,11449.04,11537.25,11391.803333333335
2021-11-01,Nordeste,11923.98,11,2021,12179.03,10790.93,12025.203333333333
2021-11-01,Norte,6124.62,11,2021,6170.16,5777.47,6215.516666666667
2021-11-01,Sudeste/CO,39761.94,11,2021,37630.33,37609.39,39244.18333333333
2021-11-01,Sul,12468.52,11,2021,11084.3,11927.27,11667.286666666667
2021-12-01,Nordeste,11664.32,12,2021,11923.98,11165.52,11922.443333333335
2021-12-01,Norte,5973.28,12,2021,6124.62,5806.54,6089.3533333333335
2021-12-01,Sudeste/CO,39777.99,12,2021,39761.94,39185.01,39056.753333333334
2021-12-01,Sul,12665.26,12,2021,12468.52,11917.91,12072.693333333335
2022-01-01,Nordeste,11272.55,1,2022,11664.32,11104.46,11620.283333333333
2022-01-01,Norte,5763.09,1,2022,5973.28,5519.24,5953.663333333334
2022-01-01,Sudeste/CO,41225.27,1,2022,39777.99,40893.73,40255.06666666666
2022-01-01,Sul,13600.34,1,2022,12665.26,12380.84,12911.373333333331
2022-02-01,Sudeste/CO,42446.9,2,2022,41225.27,40791.13,41150.05333333333
