ID;REGIAO;MÊS/ANO;CONSUMO_MEDIO
583;SUDESTE/CO;fev/12;37.785,03
584;SUL;fev/12;10.988,82
585;NORDESTE;mar/12;8.915,61
586;NORTE;mar/12;4.149,51
587;SUDESTE/CO;mar/12;38.142,09
588;SUL;mar/12;10.625,37
589;NORDESTE;abr/12;8.871,77
590;NORTE;abr/12;4.189,55
591;SUDESTE/CO;abr/12;36.429,94
592;SUL;abr/12;9.712,80
593;NORDESTE;mai/12;8.755,93
594;NORTE;mai/12;4.116,47
595;SUDESTE/CO;mai/12;34.040,26
596;SUL;mai/12;9.683,71
597;NORDESTE;jun/12;8.484,00
598;NORTE;jun/12;3.933,95
599;SUDESTE/CO;jun/12;32.396,58
600;SUL;jun/12;9.369,23
601;NORDESTE;jul/12;8.404,71
602;NORTE;jul/12;3.927,91
603;SUDESTE/CO;jul/12;32.553,35
604;SUL;jul/12;9.376,48
605;NORDESTE;ago/12;8.473,09
606;NORTE;ago/12;4.044,91
607;SUDESTE/CO;ago/12;34.867,93
608;SUL;ago/12;9.713,46
609;NORDESTE;set/12;8.745,60
610;NORTE;set/12;4.130,99
611;SUDESTE/CO;set/12;35.552,70
612;SUL;set/12;9.439,25
613;NORDESTE;out/12;8.767,57
614;NORTE;out/12;4.100,42
615;SUDESTE/CO;out/12;36.819,26
616;SUL;out/12;9.693,48
617;NORDESTE;nov/12;9.018,91
618;NORTE;nov/12;4.041,71
619;SUDESTE/CO;nov/12;34.588,82
620;SUL;nov/12;10.308,61
621;NORDESTE;dez/12;9.151,67
622;NORTE;dez/12;3.932,70
623;SUDESTE/CO;dez/12;36.179,26
624;SUL;dez/12;10.275,06
625;NORDESTE;jan/13;9.196,49
626;NORTE;jan/13;3.955,97
627;SUDESTE/CO;jan/13;34.415,28
628;SUL;jan/13;10.510,62
629;NORDESTE;fev/13;9.328,82
630;NORTE;fev/13;4.068,56
631;SUDESTE/CO;fev/13;36.703,99
632;SUL;fev/13;10.931,28
633;NORDESTE;mar/13;9.582,05
634;NORTE;mar/13;4.218,49
635;SUDESTE/CO;mar/13;36.142,05
636;SUL;mar/13;10.169,06
637;NORDESTE;abr/13;9.621,26
638;NORTE;abr/13;4.244,86
639;SUDESTE/CO;abr/13;34.505,94
640;SUL;abr/13;10.166,19
641;NORDESTE;mai/13;9.129,66
642;NORTE;mai/13;4.215,81
643;SUDESTE/CO;mai/13;33.046,06
644;SUL;mai/13;9.773,15
645;NORDESTE;jun/13;8.996,60
646;NORTE;jun/13;4.017,35
647;SUDESTE/CO;jun/13;32.968,85
648;SUL;jun/13;9.846,39
649;NORDESTE;jul/13;8.926,61
650;NORTE;jul/13;4.637,35
651;SUDESTE/CO;jul/13;32.891,40
652;SUL;jul/13;10.152,86
